2.15476	1.92434	-0.934935	-0.709708	3.70022	2.5341	3.21314	0.691092		SPACE	2.73484
2.14801	1.79756	-0.558261	-0.540892	3.8707	2.60815	3.21535	0.845857		SPACE	2.73484
2.30724	1.76189	-0.106675	-0.295954	4.00431	2.66618	3.2369	1.05328		SPACE	2.92824
2.22239	1.53528	0.299751	-0.0755094	3.94925	2.59357	3.21798	1.22449		SPACE	2.9832
2.12403	1.31291	0.665535	0.122891	3.68772	2.37858	3.17188	1.36563		SPACE	2.9832
1.85514	0.975497	0.922428	0.262228	3.18866	2.00614	2.97863	1.41424		SPACE	2.9832
1.53776	0.639485	1.08484	0.350319	2.6624	1.62617	2.73597	1.38588		SPACE	2.9832
1.18213	0.324228	1.16506	0.393829	2.01458	1.16498	2.41894	1.3012		SPACE	3.18133
0.864421	0.0423662	1.23819	0.444499	1.69275	0.950929	2.13362	1.22498		SPACE	3.18133
0.71575	-0.0967721	1.21754	0.44752	1.53181	0.849676	1.88736	1.1592		SPACE	3.18133
0.760307	-0.0745463	1.07279	0.378797	1.51599	0.853762	1.72856	1.11678		SPACE	3.18133
0.986098	0.101754	1.02613	0.377461	1.66989	0.9829	1.69071	1.10667		SPACE	3.18133
1.20466	0.273272	0.965125	0.364691	1.91925	1.16838	1.80935	1.13836		SPACE	3.18133
1.41049	0.436912	0.933824	0.367027	2.38992	1.50247	2.03466	1.19855		SPACE	3.18133
1.65945	0.641343	0.890462	0.357101	2.96305	1.8967	2.29357	1.26771		SPACE	3.18133
1.82705	0.781934	0.909922	0.375132	3.47517	2.24352	2.53803	1.33301		SPACE	3.18133
1.94005	0.87833	0.928932	0.382779	3.93169	2.55638	2.73996	1.38695		SPACE	3.18133
2.03536	0.961514	0.986712	0.410048	4.30606	2.81211	2.84758	1.4157		SPACE	3.18133
2.0715	0.99588	1.1756	0.518175	4.59501	3.01283	2.90755	1.43172		SPACE	3.18133
2.06906	0.999333	1.34323	0.613029	4.75761	3.13393	2.88811	1.42652		SPACE	3.18133
2.00401	0.951593	1.43247	0.656674	4.72121	3.11142	2.81893	1.40804		SPACE	3.18133
1.95556	0.917299	1.52129	0.701871	4.43647	2.91478	2.70385	1.3773		SPACE	3.18133
1.81095	0.800927	1.63414	0.765213	4.00347	2.60812	2.5846	1.34545		SPACE	3.18133
1.65856	0.676568	1.68451	0.79057	3.45205	2.21183	2.45038	1.30959		SPACE	3.19727
1.52775	0.566604	1.53938	0.69486	2.93638	1.85247	2.32958	1.27733		SPACE	3.19727
1.42775	0.478729	1.42466	0.623436	2.43705	1.48896	2.22425	1.24919		SPACE	3.19727
1.40474	0.452951	1.26	0.522036	1.98794	1.15787	2.17567	1.23621		SPACE	3.19727
